detuning_mhz,experimental_excited_probability,simulated_p_e_plus_p_f,experiment_minus_simulation
-0.5,0.637,0.5470891152248152,0.08991088477518483
-0.495,0.661,0.5474342838040909,0.11356571619590916
-0.49,0.634,0.5477794523833667,0.08622054761663334
-0.485,0.666,0.5481246209626424,0.11787537903735767
-0.48,0.642,0.5484697895419182,0.09353021045808185
-0.475,0.648,0.5489870743197024,0.09901292568029763
-0.47,0.656,0.5495196583151318,0.1064803416848682
-0.465,0.649,0.5500522423105613,0.09894775768943875
-0.46,0.648,0.5505848263059908,0.0974151736940092
-0.455,0.699,0.5499263865300752,0.14907361346992476
-0.45,0.682,0.549035551871946,0.13296444812805408
-0.445,0.638,0.5481447172138167,0.08985528278618327
-0.44,0.647,0.5472538825556875,0.0997461174443125
-0.435,0.664,0.5455407285746047,0.11845927142539536
-0.43,0.643,0.5435608764347261,0.09943912356527396
-0.425,0.64,0.5415810242948474,0.09841897570515257
-0.42,0.673,0.5396011721549688,0.1333988278450312
-0.415,0.64,0.5382097938833251,0.10179020611667489
-0.41,0.623,0.5371037362750681,0.08589626372493187
-0.405,0.656,0.535997678666811,0.120002321333189
-0.4,0.652,0.534891621058554,0.11710837894144599
-0.395,0.664,0.5347743613827814,0.12922563861721859
-0.39,0.646,0.5353390313156189,0.11066096868438113
-0.385,0.663,0.5359037012484563,0.1270962987515437
-0.38,0.652,0.5364683711812938,0.11553162881870627
-0.375,0.642,0.5370198656077882,0.10498013439221177
-0.37,0.656,0.5375587115481936,0.11844128845180646
-0.365,0.637,0.5380975574885989,0.09890244251140112
-0.36,0.65,0.5386364034290042,0.11136359657099582
-0.355,0.637,0.5383308814261852,0.09866911857381477
-0.35,0.643,0.5368995354990672,0.1061004645009328
-0.345,0.627,0.5354681895719491,0.09153181042805092
-0.34,0.614,0.5340368436448311,0.07996315635516893
-0.335,0.613,0.5321831015668048,0.08081689843319517
-0.33,0.643,0.5295342608517749,0.11346573914822511
-0.325,0.642,0.526885420136745,0.11511457986325502
-0.32,0.645,0.5242365794217151,0.12076342057828493
-0.315,0.655,0.5219616407299056,0.13303835927009444
-0.31,0.627,0.5207221230254758,0.10627787697452418
-0.305,0.64,0.5194826053210461,0.12051739467895395
-0.3,0.653,0.5182430876166163,0.13475691238338372
-0.295,0.64,0.517398090940941,0.12260190905905899
-0.29,0.642,0.5183065210597306,0.12369347894026939
-0.285,0.636,0.5192149511785201,0.11678504882147989
-0.28,0.631,0.5201233812973096,0.11087661870269039
-0.275,0.654,0.5209891786079777,0.13301082139202236
-0.27,0.63,0.5214798072071773,0.10852019279282266
-0.265,0.663,0.5219704358063769,0.1410295641936231
-0.26,0.643,0.5224610644055766,0.12053893559442341
-0.255,0.604,0.5228921331512016,0.08110786684879834
-0.25,0.633,0.5204643289252469,0.11253567107475315
-0.245,0.615,0.5180365246992922,0.09696347530070781
-0.24,0.621,0.5156087204733375,0.1053912795266625
-0.235,0.63,0.5131809162473827,0.11681908375261729
-0.23,0.627,0.5094192454730835,0.11758075452691652
-0.225,0.63,0.5055705834021531,0.1244294165978469
-0.22,0.624,0.5017219213312226,0.12227807866877738
-0.215,0.609,0.4978732592602922,0.1111267407397078
-0.21,0.614,0.4960820317034874,0.11791796829651258
-0.205,0.581,0.4946337098990368,0.08636629010096314
-0.2,0.622,0.4931853880945863,0.1288146119054137
-0.195,0.602,0.4917370662901357,0.11026293370986429
-0.19,0.612,0.4926210497723459,0.1193789502276541
-0.185,0.595,0.49418017425858946,0.10081982574141052
-0.18,0.609,0.49573929874483297,0.11326070125516702
-0.175,0.615,0.4972984232310765,0.11770157676892351
-0.17,0.58,0.49792191995303126,0.0820780800469687
-0.165,0.627,0.4981326397201527,0.1288673602798473
-0.16,0.621,0.49834335948727415,0.12265664051272585
-0.155,0.628,0.4985540792543956,0.1294459207456044
-0.15,0.614,0.4956521093888778,0.11834789061112216
-0.145,0.629,0.49077876942268855,0.13822123057731145
-0.14,0.604,0.4859054294564993,0.1180945705435007
-0.135,0.648,0.48103208949031,0.16696791050969
-0.13,0.587,0.4751995145743124,0.11180048542568755
-0.125,0.593,0.4685183856642537,0.12448161433574628
-0.12,0.612,0.4618372567541949,0.15016274324580509
-0.115,0.622,0.4551561278441362,0.16684387215586377
-0.11,0.605,0.45074447820476166,0.15425552179523833
-0.105,0.576,0.4491180985794086,0.12688190142059136
-0.1,0.578,0.44749171895405554,0.13050828104594442
-0.095,0.568,0.4458653393287025,0.12213466067129747
-0.09,0.564,0.44610975440360334,0.1178902455963966
-0.085,0.561,0.4495760936844969,0.11142390631550314
-0.08,0.525,0.4530424329653905,0.07195756703460954
-0.075,0.521,0.45650877224628406,0.06449122775371596
-0.07,0.516,0.4581578836222195,0.05784211637778053
-0.065,0.507,0.4552639252357597,0.0517360747642403
-0.06,0.472,0.45236996684929986,0.01963003315070011
-0.055,0.514,0.4494760084628401,0.06452399153715993
-0.05,0.48,0.44317197911890555,0.036828020881094437
-0.045,0.464,0.4235686730408207,0.04043132695917934
-0.04,0.473,0.4039653669627359,0.06903463303726409
-0.035,0.448,0.384362060884651,0.06363793911534898
-0.03,0.434,0.3643536720154781,0.06964632798452192
-0.025,0.438,0.3414421898101741,0.0965578101898259
-0.02,0.433,0.31853070760487,0.11446929239512998
-0.015,0.413,0.295619225399566,0.117380774600434
-0.01,0.433,0.27368184880974844,0.15931815119025156
-0.005,0.454,0.27463595418386255,0.17936404581613746
0.0,0.438,0.27559005955797666,0.16240994044202334
0.005,0.492,0.2765441649320908,0.21545583506790922
0.01,0.463,0.2774982703062049,0.18550172969379514
0.015,0.472,0.30118734348017717,0.1708126565198228
0.02,0.475,0.32584386209244137,0.1491561379075586
0.025,0.505,0.3505003807047056,0.15449961929529438
0.03,0.452,0.3751568993169698,0.07684310068303019
0.035,0.491,0.39670815076915145,0.09429184923084855
0.04,0.523,0.4178261091292286,0.10517389087077145
0.045,0.534,0.4389440674893057,0.09505593251069433
0.05,0.523,0.4600620258493829,0.06293797415061714
0.055,0.558,0.46773930816437603,0.09026069183562402
0.06,0.558,0.4719702632883222,0.08602973671167785
0.065,0.571,0.4762012184122684,0.09479878158773153
0.07,0.576,0.48043217353621465,0.09556782646378531
0.075,0.592,0.4798671753775288,0.11213282462247115
0.08,0.558,0.4773837959057903,0.08061620409420978
0.085,0.609,0.47490041643405173,0.13409958356594825
0.09,0.563,0.47241703696231313,0.09058296303768681
0.095,0.56,0.4727635338634927,0.08723646613650737
0.1,0.582,0.4747531847876569,0.10724681521234308
0.105,0.563,0.4767428357118211,0.08625716428817887
0.11,0.601,0.4787324866359853,0.1222675133640147
0.115,0.559,0.48307993105260844,0.07592006894739162
0.12,0.57,0.4893485405371609,0.08065145946283903
0.125,0.566,0.49561715002171347,0.07038284997828648
0.13,0.563,0.501885759506266,0.06111424049373393
0.135,0.577,0.5070977839507762,0.06990221604922375
0.14,0.599,0.5111154079152387,0.08788459208476129
0.145,0.581,0.5151330318797012,0.0658669681202988
0.15,0.553,0.5191506558441636,0.0338493441558364
0.155,0.562,0.5212848805215097,0.04071511947849038
0.16,0.609,0.5204453168507772,0.08855468314922277
0.165,0.598,0.5196057531800448,0.07839424681995522
0.17,0.607,0.5187661895093123,0.08823381049068768
0.175,0.603,0.5176444044105913,0.08535559558940864
0.18,0.617,0.5158829174084298,0.10111708259157015
0.185,0.586,0.5141214304062682,0.07187856959373173
0.19,0.647,0.5123599434041067,0.1346400565958933
0.195,0.629,0.5112764350197627,0.11772356498023728
0.2,0.638,0.5125350345878791,0.12546496541212093
0.205,0.623,0.5137936341559955,0.10920636584400445
0.21,0.644,0.515052233724112,0.128947766275888
0.215,0.651,0.5165955240490248,0.13440447595097527
0.22,0.654,0.5198469589147152,0.1341530410852848
0.225,0.642,0.5230983937804056,0.11890160621959445
0.23,0.656,0.526349828646096,0.129650171353904
0.235,0.661,0.5294961139056332,0.1315038860943668
0.24,0.66,0.5310301052041556,0.12896989479584442
0.245,0.649,0.532564096502678,0.11643590349732202
0.25,0.632,0.5340980878012005,0.09790191219879951
0.255,0.637,0.5356320790997229,0.10136792090027713
0.26,0.645,0.5344971682995514,0.11050283170044861
0.265,0.668,0.5333066553723238,0.13469334462767624
0.27,0.643,0.5321161424450962,0.11088385755490382
0.275,0.617,0.5309256295178686,0.0860743704821314
0.28,0.654,0.529712276356749,0.12428772364325102
0.285,0.634,0.5284963277145053,0.10550367228549473
0.29,0.611,0.5272803790722616,0.08371962092773844
0.295,0.669,0.5260644304300178,0.1429355695699822
0.3,0.653,0.5266709646929468,0.1263290353070532
0.305,0.643,0.5276875576095398,0.11531244239046023
0.31,0.633,0.5287041505261326,0.10429584947386739
0.315,0.647,0.5297207434427256,0.11727925655727445
0.32,0.649,0.531568558369617,0.117431441630383
