detuning_mhz,experimental_excited_probability,simulated_p_e_plus_p_f,experiment_minus_simulation
-0.5,0.637,0.6190744865156339,0.017925513484366107
-0.495,0.661,0.6183211843022733,0.04267881569772669
-0.49,0.634,0.6175678820889129,0.01643211791108712
-0.485,0.666,0.6168145798755523,0.04918542012444771
-0.48,0.642,0.6160612776621919,0.02593872233780814
-0.475,0.648,0.6153711847333542,0.03262881526664585
-0.47,0.656,0.6146867104075852,0.04131328959241487
-0.465,0.649,0.6140022360818161,0.03499776391818388
-0.46,0.648,0.6133177617560471,0.03468223824395289
-0.455,0.699,0.6126822688787458,0.08631773112125418
-0.45,0.682,0.612056333357243,0.06994366664275709
-0.445,0.638,0.6114303978357403,0.026569602164259742
-0.44,0.647,0.6108044623142375,0.03619553768576256
-0.435,0.664,0.6101621453501045,0.053837854649895545
-0.43,0.643,0.6095145154856589,0.03348548451434108
-0.425,0.64,0.6088668856212134,0.03113311437878663
-0.42,0.673,0.6082192557567678,0.06478074424323221
-0.415,0.64,0.607527012969804,0.032472987030195966
-0.41,0.623,0.6068131396749525,0.01618686032504746
-0.405,0.656,0.606099266380101,0.049900733619898996
-0.4,0.652,0.6053853930852496,0.04661460691475039
-0.395,0.664,0.6045805000274325,0.05941949997256757
-0.39,0.646,0.603712834719294,0.042287165280705974
-0.385,0.663,0.6028451694111557,0.0601548305888443
-0.38,0.652,0.6019775041030173,0.05002249589698271
-0.375,0.642,0.6009662428628425,0.04103375713715751
-0.37,0.656,0.5998171295279126,0.056182870472087476
-0.365,0.637,0.5986680161929826,0.03833198380701741
-0.36,0.65,0.5975189028580528,0.052481097141947264
-0.355,0.637,0.5962809729727869,0.040719027027213084
-0.35,0.643,0.5949246210204067,0.04807537897959335
-0.345,0.627,0.5935682690680264,0.0334317309319736
-0.34,0.614,0.5922119171156461,0.021788082884353854
-0.335,0.613,0.5909083072496465,0.022091692750353498
-0.33,0.643,0.5897039766050695,0.05329602339493056
-0.325,0.642,0.5884996459604923,0.0535003540395077
-0.32,0.645,0.5872953153159153,0.05770468468408474
-0.315,0.655,0.5861852491342348,0.06881475086576527
-0.31,0.627,0.5853362230036525,0.04166377699634749
-0.305,0.64,0.5844871968730703,0.055512803126929744
-0.3,0.653,0.5836381707424879,0.06936182925751211
-0.295,0.64,0.5827734692682394,0.05722653073176065
-0.29,0.642,0.5818390995999185,0.060160900400081485
-0.285,0.636,0.5809047299315976,0.055095270068402424
-0.28,0.631,0.5799703602632766,0.051029639736723365
-0.275,0.654,0.5789516686593754,0.07504833134062461
-0.27,0.63,0.5771909440223674,0.052809055977632635
-0.265,0.663,0.5754302193853593,0.08756978061464071
-0.26,0.643,0.5736694947483513,0.06933050525164874
-0.255,0.604,0.5718920553369864,0.03210794466301359
-0.25,0.633,0.5693123067564976,0.06368769324350243
-0.245,0.615,0.5667325581760088,0.04826744182399123
-0.24,0.621,0.5641528095955198,0.056847190404480163
-0.235,0.63,0.561573061015031,0.06842693898496899
-0.23,0.627,0.5592332333813459,0.0677667666186541
-0.225,0.63,0.5569090527659306,0.07309094723406939
-0.22,0.624,0.5545848721505153,0.06941512784948467
-0.215,0.609,0.5522606915351,0.05673930846489994
-0.21,0.614,0.5509151783218169,0.06308482167818308
-0.205,0.581,0.5497327763422225,0.031267223657777454
-0.2,0.622,0.548550374362628,0.073449625637372
-0.195,0.602,0.5473679723830336,0.054632027616966394
-0.19,0.612,0.5464774881527975,0.06552251184720248
-0.185,0.595,0.5456715064289546,0.049328493571045406
-0.18,0.609,0.5448655247051117,0.06413447529488825
-0.175,0.615,0.5440595429812689,0.07094045701873108
-0.17,0.58,0.5421884834196157,0.037811516580384286
-0.165,0.627,0.5398475365765756,0.08715246342342442
-0.16,0.621,0.5375065897335355,0.08349341026646451
-0.155,0.628,0.5351656428904954,0.0928343571095046
-0.15,0.614,0.5315515113957029,0.0824484886042971
-0.145,0.629,0.527131029621467,0.10186897037853304
-0.14,0.604,0.5227105478472311,0.08128945215276884
-0.135,0.648,0.5182900660729953,0.1297099339270047
-0.13,0.587,0.5139203549205207,0.07307964507947928
-0.125,0.593,0.5095955562411425,0.08340444375885747
-0.12,0.612,0.5052707575617643,0.10672924243823567
-0.115,0.622,0.5009459588823861,0.12105404111761386
-0.11,0.605,0.4977490520356911,0.1072509479643089
-0.105,0.576,0.49593637607456165,0.08006362392543831
-0.1,0.578,0.4941237001134322,0.08387629988656775
-0.095,0.568,0.49231102415230277,0.07568897584769718
-0.09,0.564,0.49095747238369786,0.07304252761630209
-0.085,0.561,0.49039463450221854,0.07060536549778151
-0.08,0.525,0.48983179662073917,0.035168203379260854
