detuning_mhz,experimental_excited_probability,simulated_p_e_plus_p_f,experiment_minus_simulation
-0.5,0.637,0.39513745660985805,0.24186254339014196
-0.495,0.661,0.39475385823026454,0.2662461417697355
-0.49,0.634,0.39437025985067103,0.23962974014932897
-0.485,0.666,0.3939866614710775,0.2720133385289225
-0.48,0.642,0.393603063091484,0.248396936908516
-0.475,0.648,0.3929685714234381,0.2550314285765619
-0.47,0.656,0.392311778129752,0.26368822187024804
-0.465,0.649,0.39165498483606587,0.25734501516393415
-0.46,0.648,0.39099819154237975,0.2570018084576203
-0.455,0.699,0.39054013331073073,0.3084598666892692
-0.45,0.682,0.3901208526521622,0.2918791473478379
-0.445,0.638,0.3897015719935936,0.2482984280064064
-0.44,0.647,0.389282291335025,0.257717708664975
-0.435,0.664,0.3887601961844555,0.2752398038155445
-0.43,0.643,0.38820475579323704,0.25479524420676297
-0.425,0.64,0.3876493154020186,0.25235068459798143
-0.42,0.673,0.38709387501080017,0.2859061249891999
-0.415,0.64,0.3864549867995677,0.2535450132004323
-0.41,0.623,0.38577563903923756,0.23722436096076244
-0.405,0.656,0.38509629127890743,0.2709037087210926
-0.4,0.652,0.3844169435185773,0.2675830564814227
-0.395,0.664,0.38388484226299363,0.2801151577370064
-0.39,0.646,0.3834542903210281,0.2625457096789719
-0.385,0.663,0.3830237383790626,0.2799762616209374
-0.38,0.652,0.3825931864370971,0.2694068135629029
-0.375,0.642,0.3820118690944833,0.2599881309055167
-0.37,0.656,0.38128581696724717,0.27471418303275286
-0.365,0.637,0.38055976484001103,0.256440235159989
-0.36,0.65,0.37983371271277483,0.2701662872872252
-0.355,0.637,0.3791471081529697,0.2578528918470303
-0.35,0.643,0.37851310034973923,0.2644868996502608
-0.345,0.627,0.37787909254650875,0.24912090745349125
-0.34,0.614,0.3772450847432783,0.2367549152567217
-0.335,0.613,0.37665479923009954,0.23634520076990045
-0.33,0.643,0.3761468144981947,0.2668531855018053
-0.325,0.642,0.3756388297662899,0.26636117023371014
-0.32,0.645,0.37513084503438504,0.269869154965615
-0.315,0.655,0.3745404890768204,0.2804595109231796
-0.31,0.627,0.37372202818665956,0.25327797181334044
-0.305,0.64,0.37290356729649876,0.26709643270350125
-0.3,0.653,0.3720851064063379,0.2809148935936621
-0.295,0.64,0.3713154196513347,0.2686845803486653
-0.29,0.642,0.37076250683036516,0.27123749316963486
-0.285,0.636,0.3702095940093957,0.26579040599060433
-0.28,0.631,0.3696566811884262,0.2613433188115738
-0.275,0.654,0.36910272297046737,0.28489727702953266
-0.27,0.63,0.36853956525900194,0.26146043474099806
-0.265,0.663,0.36797640754753647,0.29502359245246357
-0.26,0.643,0.36741324983607104,0.275586750163929
-0.255,0.604,0.36684589531625045,0.23715410468374953
-0.25,0.633,0.366077093995383,0.266922906004617
-0.245,0.615,0.3653082926745156,0.2496917073254844
-0.24,0.621,0.3645394913536481,0.2564605086463519
-0.235,0.63,0.3637706900327807,0.26622930996721933
-0.23,0.627,0.36337421436876693,0.26362578563123307
-0.225,0.63,0.36300202081280886,0.26699797918719115
-0.22,0.624,0.3626298272568508,0.2613701727431492
-0.215,0.609,0.36225763370089276,0.24674236629910723
-0.21,0.614,0.3618684896895761,0.2521315103104239
-0.205,0.581,0.36147652060236635,0.21952347939763361
-0.2,0.622,0.3610845515151566,0.2609154484848434
-0.195,0.602,0.3606925824279469,0.2413074175720531
