target_rabi_mhz,experimental_rabi_mhz,detuning_mhz,experimental_excited_probability,simulated_p_e_plus_p_f,experiment_minus_simulation
2.5,2.520252178462184,-0.5,0.465,0.6050350849519057,-0.1400350849519057
2.5,2.520252178462184,-0.495,0.521,0.6044006789201951,-0.08340067892019509
2.5,2.520252178462184,-0.49,0.463,0.6037662728884844,-0.14076627288848437
2.5,2.520252178462184,-0.485,0.484,0.6031318668567738,-0.1191318668567738
2.5,2.520252178462184,-0.48,0.475,0.6024974608250632,-0.1274974608250632
2.5,2.520252178462184,-0.475,0.518,0.6002776937580967,-0.08227769375809668
2.5,2.520252178462184,-0.47,0.491,0.5979170057102186,-0.10691700571021856
2.5,2.520252178462184,-0.465,0.506,0.5955563176623405,-0.08955631766234051
2.5,2.520252178462184,-0.46,0.498,0.5931956296144624,-0.09519562961446237
2.5,2.520252178462184,-0.455,0.5,0.5901517878081267,-0.09015178780812672
2.5,2.520252178462184,-0.45,0.46,0.5869746477074579,-0.12697464770745787
2.5,2.520252178462184,-0.445,0.511,0.5837975076067891,-0.07279750760678905
2.5,2.520252178462184,-0.44,0.521,0.5806203675061202,-0.05962036750612021
2.5,2.520252178462184,-0.435,0.467,0.5778042725641542,-0.1108042725641542
2.5,2.520252178462184,-0.43,0.491,0.5751052733493349,-0.08410527334933493
2.5,2.520252178462184,-0.425,0.482,0.5724062741345157,-0.09040627413451574
2.5,2.520252178462184,-0.42,0.498,0.5697072749196964,-0.07170727491969642
2.5,2.520252178462184,-0.415,0.498,0.5681122165388104,-0.07011221653881039
2.5,2.520252178462184,-0.41,0.509,0.5670524021986193,-0.05805240219861929
2.5,2.520252178462184,-0.405,0.484,0.5659925878584282,-0.08199258785842822
2.5,2.520252178462184,-0.4,0.494,0.5649327735182371,-0.07093277351823712
2.5,2.520252178462184,-0.395,0.493,0.5651771918219004,-0.07217719182190041
2.5,2.520252178462184,-0.39,0.472,0.5663210809144287,-0.0943210809144287
2.5,2.520252178462184,-0.385,0.516,0.567464970006957,-0.051464970006956934
2.5,2.520252178462184,-0.38,0.503,0.5686088590994852,-0.06560885909948522
2.5,2.520252178462184,-0.375,0.483,0.5707234994102945,-0.08772349941029456
2.5,2.520252178462184,-0.37,0.488,0.5737700608906534,-0.08577006089065342
2.5,2.520252178462184,-0.365,0.484,0.5768166223710124,-0.0928166223710124
2.5,2.520252178462184,-0.36,0.493,0.5798631838513714,-0.08686318385137137
2.5,2.520252178462184,-0.355,0.495,0.5832244656275835,-0.08822446562758346
2.5,2.520252178462184,-0.35,0.489,0.587005374464933,-0.09800537446493296
2.5,2.520252178462184,-0.345,0.496,0.5907862833022824,-0.09478628330228245
2.5,2.520252178462184,-0.34,0.502,0.5945671921396319,-0.09256719213963194
2.5,2.520252178462184,-0.335,0.484,0.5980110951050867,-0.11401109510508667
2.5,2.520252178462184,-0.33,0.511,0.6008206340763866,-0.08982063407638663
2.5,2.520252178462184,-0.325,0.507,0.6036301730476866,-0.09663017304768662
2.5,2.520252178462184,-0.32,0.512,0.6064397120189866,-0.0944397120189866
2.5,2.520252178462184,-0.315,0.484,0.6085705847780425,-0.1245705847780425
2.5,2.520252178462184,-0.31,0.517,0.6088220741801142,-0.09182207418011423
2.5,2.520252178462184,-0.305,0.519,0.609073563582186,-0.09007356358218599
2.5,2.520252178462184,-0.3,0.477,0.6093250529842579,-0.1323250529842579
2.5,2.520252178462184,-0.295,0.484,0.6089780931801225,-0.12497809318012254
2.5,2.520252178462184,-0.29,0.493,0.6059713591261776,-0.11297135912617762
2.5,2.520252178462184,-0.285,0.487,0.6029646250722327,-0.11596462507223271
2.5,2.520252178462184,-0.28,0.491,0.5999578910182878,-0.10895789101828779
2.5,2.520252178462184,-0.275,0.511,0.5966855396918354,-0.08568553969183534
2.5,2.520252178462184,-0.27,0.497,0.5910757563673166,-0.09407575636731658
2.5,2.520252178462184,-0.265,0.501,0.5854659730427979,-0.0844659730427979
2.5,2.520252178462184,-0.26,0.509,0.5798561897182791,-0.07085618971827912
2.5,2.520252178462184,-0.255,0.482,0.574231199593651,-0.092231199593651
2.5,2.520252178462184,-0.25,0.495,0.5678762830637677,-0.0728762830637677
2.5,2.520252178462184,-0.245,0.492,0.5615213665338845,-0.06952136653388452
2.5,2.520252178462184,-0.24,0.502,0.5551664500040013,-0.05316645000400133
2.5,2.520252178462184,-0.235,0.504,0.548811533474118,-0.04481153347411804
2.5,2.520252178462184,-0.23,0.493,0.5439561417533902,-0.05095614175339025
2.5,2.520252178462184,-0.225,0.48,0.5391985451289116,-0.05919854512891165
2.5,2.520252178462184,-0.22,0.482,0.534440948504433,-0.05244094850443304
2.5,2.520252178462184,-0.215,0.533,0.5296833518799544,0.0033166481200456177
2.5,2.520252178462184,-0.21,0.476,0.5279423183051586,-0.05194231830515861
2.5,2.520252178462184,-0.205,0.48,0.5267040452386432,-0.046704045238643244
2.5,2.520252178462184,-0.2,0.461,0.5254657721721279,-0.06446577217212784
2.5,2.520252178462184,-0.195,0.506,0.5242274991056125,-0.0182274991056125
2.5,2.520252178462184,-0.19,0.472,0.5262909667678534,-0.05429096676785339
2.5,2.520252178462184,-0.185,0.483,0.5293102014831552,-0.04631020148315523
2.5,2.520252178462184,-0.18,0.484,0.5323294361984571,-0.04832943619845709
2.5,2.520252178462184,-0.175,0.498,0.5353486709137589,-0.03734867091375893
2.5,2.520252178462184,-0.17,0.504,0.5406213861324293,-0.03662138613242927
2.5,2.520252178462184,-0.165,0.492,0.5468882839261152,-0.05488828392611522
2.5,2.520252178462184,-0.16,0.51,0.5531551817198012,-0.04315518171980115
2.5,2.520252178462184,-0.155,0.478,0.5594220795134871,-0.08142207951348712
2.5,2.520252178462184,-0.15,0.512,0.5657934074721248,-0.0537934074721248
2.5,2.520252178462184,-0.145,0.474,0.5722308745352318,-0.09823087453523183
2.5,2.520252178462184,-0.14,0.495,0.5786683415983389,-0.08366834159833891
2.5,2.520252178462184,-0.135,0.498,0.585105808661446,-0.08710580866144602
2.5,2.520252178462184,-0.13,0.508,0.5890889768774794,-0.0810889768774794
2.5,2.520252178462184,-0.125,0.484,0.5909010345749477,-0.1069010345749477
2.5,2.520252178462184,-0.12,0.504,0.592713092272416,-0.08871309227241597
2.5,2.520252178462184,-0.115,0.495,0.5945251499698844,-0.09952514996988437
2.5,2.520252178462184,-0.11,0.497,0.5920643444681392,-0.09506434446813916
2.5,2.520252178462184,-0.105,0.491,0.5843595704946319,-0.09335957049463195
2.5,2.520252178462184,-0.1,0.484,0.5766547965211247,-0.09265479652112474
2.5,2.520252178462184,-0.095,0.46,0.5689500225476175,-0.10895002254761749
2.5,2.520252178462184,-0.09,0.48,0.5569491225693611,-0.07694912256936115
2.5,2.520252178462184,-0.085,0.46,0.5375493389162593,-0.07754933891625931
2.5,2.520252178462184,-0.08,0.478,0.5181495552631574,-0.040149555263157444
2.5,2.520252178462184,-0.075,0.495,0.4987497716100555,-0.003749771610055519
2.5,2.520252178462184,-0.07,0.496,0.4768899347131115,0.019110065286888522
2.5,2.520252178462184,-0.065,0.461,0.44887996470656216,0.012120035293437859
2.5,2.520252178462184,-0.06,0.502,0.4208699947000128,0.0811300052999872
2.5,2.520252178462184,-0.055,0.512,0.3928600246934635,0.11913997530653653
2.5,2.520252178462184,-0.05,0.466,0.3648244826693876,0.10117551733061242
2.5,2.520252178462184,-0.045,0.434,0.33668920977695793,0.09731079022304207
2.5,2.520252178462184,-0.04,0.445,0.3085539368845283,0.1364460631154717
2.5,2.520252178462184,-0.035,0.4,0.2804186639920987,0.11958133600790133
2.5,2.520252178462184,-0.03,0.441,0.253560864678104,0.187439135321896
2.5,2.520252178462184,-0.025,0.377,0.23585829267622624,0.14114170732377376
2.5,2.520252178462184,-0.02,0.38,0.21815572067434846,0.16184427932565154
2.5,2.520252178462184,-0.015,0.345,0.2004531486724707,0.14454685132752929
2.5,2.520252178462184,-0.01,0.349,0.18347364654108944,0.16552635345891054
2.5,2.520252178462184,-0.005,0.346,0.1834862863663756,0.16251371363362438
2.5,2.520252178462184,0.0,0.334,0.18349892619166175,0.15050107380833827
2.5,2.520252178462184,0.005,0.312,0.18351156601694787,0.12848843398305212
2.5,2.520252178462184,0.01,0.332,0.18352420584223403,0.148475794157766
2.5,2.520252178462184,0.015,0.322,0.200489709148642,0.121510290851358
2.5,2.520252178462184,0.02,0.346,0.21817661090105522,0.12782338909894475
2.5,2.520252178462184,0.025,0.371,0.23586351265346842,0.13513648734653158
2.5,2.520252178462184,0.03,0.384,0.2535504144058816,0.1304495855941184
2.5,2.520252178462184,0.035,0.371,0.2803013976105426,0.09069860238945737
2.5,2.520252178462184,0.04,0.422,0.3083171363666799,0.11368286363332009
2.5,2.520252178462184,0.045,0.432,0.3363328751228172,0.09566712487718282
2.5,2.520252178462184,0.05,0.473,0.36434861387895445,0.10865138612104552
2.5,2.520252178462184,0.055,0.471,0.39216938845913063,0.07883061154086934
2.5,2.520252178462184,0.06,0.468,0.4199401722249578,0.04805982777504225
2.5,2.520252178462184,0.065,0.476,0.447710955990785,0.028289044009215003
2.5,2.520252178462184,0.07,0.512,0.47548173975661223,0.03651826024338778
2.5,2.520252178462184,0.075,0.511,0.4970420976995554,0.013957902300444636
2.5,2.520252178462184,0.08,0.501,0.516118285313345,-0.015118285313345026
2.5,2.520252178462184,0.085,0.517,0.5351944729271347,-0.01819447292713472
2.5,2.520252178462184,0.09,0.486,0.5542706605409243,-0.06827066054092434
2.5,2.520252178462184,0.095,0.55,0.5659356629523653,-0.01593566295236526
2.5,2.520252178462184,0.1,0.527,0.5732973965366359,-0.04629739653663589
2.5,2.520252178462184,0.105,0.483,0.5806591301209065,-0.09765913012090655
2.5,2.520252178462184,0.11,0.512,0.5880208637051771,-0.07602086370517713
2.5,2.520252178462184,0.115,0.507,0.5901619451454477,-0.08316194514544772
2.5,2.520252178462184,0.12,0.5,0.5880491618757927,-0.0880491618757927
2.5,2.520252178462184,0.125,0.534,0.5859363786061377,-0.051936378606137645
2.5,2.520252178462184,0.13,0.497,0.5838235953364826,-0.08682359533648265
2.5,2.520252178462184,0.135,0.5,0.5795754736059152,-0.07957547360591521
2.5,2.520252178462184,0.14,0.519,0.5729134910064902,-0.05391349100649023
2.5,2.520252178462184,0.145,0.552,0.5662515084070653,-0.014251508407065239
2.5,2.520252178462184,0.15,0.498,0.5595895258076403,-0.06158952580764032
2.5,2.520252178462184,0.155,0.535,0.5530241276490577,-0.018024127649057697
2.5,2.520252178462184,0.16,0.538,0.5466112312391734,-0.0086112312391734
2.5,2.520252178462184,0.165,0.522,0.5401983348292891,-0.01819833482928912
2.5,2.520252178462184,0.17,0.513,0.533785438419405,-0.020785438419404945
2.5,2.520252178462184,0.175,0.527,0.5283860840828443,-0.0013860840828442411
2.5,2.520252178462184,0.18,0.515,0.5252840917791503,-0.01028409177915024
2.5,2.520252178462184,0.185,0.508,0.5221820994754562,-0.014182099475456234
2.5,2.520252178462184,0.19,0.53,0.5190801071717622,0.010919892828237798
2.5,2.520252178462184,0.195,0.516,0.5169444698399566,-0.0009444698399565521
2.5,2.520252178462184,0.2,0.526,0.5181471496837651,0.00785285031623495
2.5,2.520252178462184,0.205,0.521,0.5193498295275737,0.0016501704724263266
2.5,2.520252178462184,0.21,0.534,0.5205525093713822,0.01344749062861783
2.5,2.520252178462184,0.215,0.5,0.522263199477533,-0.02226319947753297
2.5,2.520252178462184,0.22,0.521,0.5270219511577361,-0.006021951157736072
2.5,2.520252178462184,0.225,0.498,0.5317807028379393,-0.033780702837939325
2.5,2.520252178462184,0.23,0.521,0.5365394545181424,-0.015539454518142426
2.5,2.520252178462184,0.235,0.549,0.5413976799119775,0.0076023200880225295
2.5,2.520252178462184,0.24,0.554,0.547781168914835,0.006218831085165077
2.5,2.520252178462184,0.245,0.516,0.5541646579176925,-0.038164657917692524
2.5,2.520252178462184,0.25,0.514,0.56054814692055,-0.04654814692054998
2.5,2.520252178462184,0.255,0.522,0.5669316359234075,-0.04493163592340743
2.5,2.520252178462184,0.26,0.552,0.572598067695968,-0.020598067695967948
2.5,2.520252178462184,0.265,0.518,0.5782495607762306,-0.06024956077623056
2.5,2.520252178462184,0.27,0.533,0.5839010538564932,-0.05090105385649313
2.5,2.520252178462184,0.275,0.505,0.5895525469367557,-0.08455254693675573
2.5,2.520252178462184,0.28,0.494,0.5928621003599142,-0.09886210035991416
2.5,2.520252178462184,0.285,0.51,0.5959055242765835,-0.08590552427658349
2.5,2.520252178462184,0.29,0.522,0.5989489481932528,-0.07694894819325282
2.5,2.520252178462184,0.295,0.522,0.6019923721099222,-0.07999237210992216
2.5,2.520252178462184,0.3,0.54,0.6023600730460115,-0.06236007304601143
2.5,2.520252178462184,0.305,0.519,0.6021257363114704,-0.08312573631147036
2.5,2.520252178462184,0.31,0.534,0.6018913995769292,-0.06789139957692913
2.5,2.520252178462184,0.315,0.52,0.6016570628423881,-0.08165706284238805
2.5,2.520252178462184,0.32,0.521,0.5995258559287808,-0.07852585592878081
2.5,2.520252178462184,0.325,0.509,0.5967096681171776,-0.08770966811717762
2.5,2.520252178462184,0.33,0.539,0.5938934803055744,-0.054893480305574394
2.5,2.520252178462184,0.335,0.529,0.5910772924939711,-0.06207729249397109
2.5,2.520252178462184,0.34,0.54,0.5876153643452785,-0.047615364345278466
2.5,2.520252178462184,0.345,0.526,0.5838103866425071,-0.05781038664250704
2.5,2.520252178462184,0.35,0.537,0.5800054089397356,-0.04300540893973559
2.5,2.520252178462184,0.355,0.511,0.5762004312369642,-0.06520043123696417
2.5,2.520252178462184,0.36,0.532,0.5728122782666126,-0.0408122782666126
2.5,2.520252178462184,0.365,0.526,0.5697367438455759,-0.04373674384557591
2.5,2.520252178462184,0.37,0.511,0.5666612094245392,-0.055661209424539226
2.5,2.520252178462184,0.375,0.537,0.5635856750035025,-0.026585675003502507
2.5,2.520252178462184,0.38,0.532,0.5614463996664961,-0.029446399666496093
2.5,2.520252178462184,0.385,0.518,0.560282394208688,-0.04228239420868796
2.5,2.520252178462184,0.39,0.519,0.5591183887508798,-0.04011838875087981
2.5,2.520252178462184,0.395,0.533,0.5579543832930716,-0.024954383293071536
2.5,2.520252178462184,0.4,0.532,0.5576982721430306,-0.025698272143030554
2.5,2.520252178462184,0.405,0.504,0.5587586077392517,-0.054758607739251675
2.5,2.520252178462184,0.41,0.509,0.5598189433354729,-0.05081894333547288
2.5,2.520252178462184,0.415,0.529,0.5608792789316941,-0.031879278931694066
2.5,2.520252178462184,0.42,0.504,0.5624838711036572,-0.05848387110365716
2.5,2.520252178462184,0.425,0.527,0.5652109924630879,-0.0382109924630879
2.5,2.520252178462184,0.43,0.524,0.5679381138225187,-0.043938113822518665
2.5,2.520252178462184,0.435,0.521,0.5706652351819494,-0.04966523518194943
2.5,2.520252178462184,0.44,0.505,0.5735159489583925,-0.06851594895839253
2.5,2.520252178462184,0.445,0.529,0.5767477393539568,-0.04774773935395682
2.5,2.520252178462184,0.45,0.547,0.5799795297495213,-0.03297952974952123
2.5,2.520252178462184,0.455,0.525,0.5832113201450856,-0.058211320145085566
2.5,2.520252178462184,0.46,0.501,0.5863124274819221,-0.08531242748192214
2.5,2.520252178462184,0.465,0.503,0.5887437841427788,-0.08574378414277883
2.5,2.520252178462184,0.47,0.503,0.5911751408036355,-0.08817514080363553
2.5,2.520252178462184,0.475,0.505,0.5936064974644922,-0.08860649746449223
2.5,2.520252178462184,0.48,0.498,0.5958968709622647,-0.09789687096226474
2.5,2.520252178462184,0.485,0.512,0.5966011838753407,-0.08460118387534066
2.5,2.520252178462184,0.49,0.527,0.5973054967884166,-0.07030549678841658
2.5,2.520252178462184,0.495,0.545,0.5980098097014925,-0.053009809701492494
2.5,2.520252178462184,0.5,0.531,0.5987141226145685,-0.06771412261456844
5.0,5.040504356924368,-0.5,0.654,0.7570179526682819,-0.10301795266828184
5.0,5.040504356924368,-0.495,0.656,0.7545684655720949,-0.09856846557209487
5.0,5.040504356924368,-0.49,0.675,0.7521189784759078,-0.07711897847590776
5.0,5.040504356924368,-0.485,0.638,0.7496694913797208,-0.11166949137972082
5.0,5.040504356924368,-0.48,0.647,0.7472200042835337,-0.10022000428353373
5.0,5.040504356924368,-0.475,0.631,0.744217402480835,-0.113217402480835
5.0,5.040504356924368,-0.47,0.658,0.7411656349264463,-0.08316563492644624
5.0,5.040504356924368,-0.465,0.658,0.7381138673720575,-0.0801138673720575
5.0,5.040504356924368,-0.46,0.685,0.7350620998176688,-0.05006209981766874
5.0,5.040504356924368,-0.455,0.68,0.7321727550003079,-0.052172755000307824
5.0,5.040504356924368,-0.45,0.67,0.7293151024243182,-0.059315102424318145
5.0,5.040504356924368,-0.445,0.651,0.7264574498483285,-0.07545744984832847
5.0,5.040504356924368,-0.44,0.673,0.7235997972723389,-0.050599797272338876
5.0,5.040504356924368,-0.435,0.648,0.7214928277046672,-0.07349282770466714
5.0,5.040504356924368,-0.43,0.651,0.71962932289645,-0.06862932289644996
5.0,5.040504356924368,-0.425,0.673,0.7177658180882327,-0.044765818088232656
5.0,5.040504356924368,-0.42,0.675,0.7159023132800154,-0.04090231328001537
5.0,5.040504356924368,-0.415,0.666,0.7150392141513465,-0.04903921415134649
5.0,5.040504356924368,-0.41,0.659,0.7146611602006405,-0.05566116020064049
5.0,5.040504356924368,-0.405,0.671,0.7142831062499345,-0.04328310624993448
5.0,5.040504356924368,-0.4,0.643,0.7139050522992284,-0.07090505229922839
5.0,5.040504356924368,-0.395,0.672,0.7143782301648228,-0.04237823016482278
5.0,5.040504356924368,-0.39,0.669,0.715438464455452,-0.04643846445545197
5.0,5.040504356924368,-0.385,0.662,0.7164986987460812,-0.05449869874608115
5.0,5.040504356924368,-0.38,0.643,0.7175589330367104,-0.07455893303671035
5.0,5.040504356924368,-0.375,0.626,0.7190196162901217,-0.09301961629012168
5.0,5.040504356924368,-0.37,0.623,0.7208647305478038,-0.09786473054780376
5.0,5.040504356924368,-0.365,0.658,0.7227098448054857,-0.0647098448054857
5.0,5.040504356924368,-0.36,0.664,0.7245549590631678,-0.06055495906316777
5.0,5.040504356924368,-0.355,0.683,0.7262593830877742,-0.043259383087774106
5.0,5.040504356924368,-0.35,0.655,0.7277762201349461,-0.07277622013494611
5.0,5.040504356924368,-0.345,0.667,0.7292930571821181,-0.06229305718211808
5.0,5.040504356924368,-0.34,0.655,0.73080989422929,-0.07580989422928996
5.0,5.040504356924368,-0.335,0.666,0.7317944670397991,-0.06579446703979908
5.0,5.040504356924368,-0.33,0.68,0.731777130698943,-0.051777130698942964
5.0,5.040504356924368,-0.325,0.659,0.7317597943580868,-0.07275979435808677
5.0,5.040504356924368,-0.32,0.622,0.7317424580172306,-0.10974245801723059
5.0,5.040504356924368,-0.315,0.662,0.7311052485705843,-0.06910524857058431
5.0,5.040504356924368,-0.31,0.67,0.7287514674463655,-0.0587514674463655
5.0,5.040504356924368,-0.305,0.676,0.7263976863221466,-0.050397686322146584
5.0,5.040504356924368,-0.3,0.652,0.7240439051979278,-0.0720439051979278
5.0,5.040504356924368,-0.295,0.678,0.7212648387956164,-0.04326483879561638
5.0,5.040504356924368,-0.29,0.638,0.7165956156017825,-0.07859561560178252
5.0,5.040504356924368,-0.285,0.68,0.7119263924079486,-0.03192639240794859
5.0,5.040504356924368,-0.28,0.647,0.7072571692141147,-0.060257169214114725
5.0,5.040504356924368,-0.275,0.673,0.70244922555154,-0.029449225551539948
5.0,5.040504356924368,-0.27,0.641,0.6964205417640459,-0.05542054176404587
5.0,5.040504356924368,-0.265,0.658,0.6903918579765518,-0.03239185797655175
5.0,5.040504356924368,-0.26,0.659,0.6843631741890577,-0.025363174189057647
5.0,5.040504356924368,-0.255,0.66,0.6783393397759048,-0.01833933977590474
5.0,5.040504356924368,-0.25,0.671,0.6725482753311274,-0.0015482753311273356
5.0,5.040504356924368,-0.245,0.665,0.66675721088635,-0.001757210886349947
5.0,5.040504356924368,-0.24,0.639,0.6609661464415725,-0.021966146441572465
5.0,5.040504356924368,-0.235,0.63,0.6551750819967951,-0.02517508199679508
5.0,5.040504356924368,-0.23,0.65,0.6511593803931336,-0.0011593803931335689
5.0,5.040504356924368,-0.225,0.658,0.6472594633225883,0.010740536677411705
5.0,5.040504356924368,-0.22,0.635,0.643359546252043,-0.008359546252042938
5.0,5.040504356924368,-0.215,0.672,0.6394596291814977,0.03254037081850236
5.0,5.040504356924368,-0.21,0.65,0.6380941481601047,0.011905851839895343
5.0,5.040504356924368,-0.205,0.679,0.6371510731469039,0.04184892685309616
5.0,5.040504356924368,-0.2,0.653,0.636207998133703,0.016792001866297035
5.0,5.040504356924368,-0.195,0.674,0.6352649231205021,0.038735076879497954
5.0,5.040504356924368,-0.19,0.653,0.6365773768809362,0.01642262311906384
5.0,5.040504356924368,-0.185,0.621,0.6385427468653172,-0.017542746865317205
5.0,5.040504356924368,-0.18,0.625,0.6405081168496982,-0.015508116849698217
5.0,5.040504356924368,-0.175,0.646,0.6424734868340791,0.003526513165920897
5.0,5.040504356924368,-0.17,0.642,0.6454273998007519,-0.003427399800751907
5.0,5.040504356924368,-0.165,0.647,0.648817434671377,-0.0018174346713769607
5.0,5.040504356924368,-0.16,0.634,0.652207469542002,-0.01820746954200203
5.0,5.040504356924368,-0.155,0.656,0.6555975044126271,0.0004024955873729308
5.0,5.040504356924368,-0.15,0.674,0.6580847860742577,0.015915213925742355
