duration_us,cutoff,protocol,kappa_mhz_inv,maximum_final_pf,center_rms_khz,maximum_abs_center_khz,minimum_pe_contrast
3.0,0.001,abrupt_kappa_only,0.00225,0.12615737583650632,2.076057566597453,3.90494442600619,0.024370960768662114
3.0,0.001,smooth_no_drag,0.00225,0.05579879326924046,3.0804392660634234,6.432940964489537,0.1099997022212228
3.0,0.001,smooth_drag_same_kappa,0.00225,0.0006990099352002063,40.758474452191706,83.15175394449888,0.11607077205350524
3.0,0.001,smooth_drag_retuned,-0.0025,0.001777231693211852,1.3077268884850963,2.7245369875513767,0.11012092986360418
5.0,0.001,abrupt_kappa_only,0.00225,0.19304323945440768,0.7750995352887408,1.6617990103653437,0.05758262171090227
5.0,0.001,smooth_no_drag,0.00225,0.037122554289809054,1.5177215559196884,3.768634005697216,0.1494271459388371
5.0,0.001,smooth_drag_same_kappa,0.00225,0.00038705423142419113,29.374944199775687,56.47572761033251,0.15991551137117233
5.0,0.001,smooth_drag_retuned,-0.0025,0.0016065188397014385,0.8172779943526272,1.4573740927599643,0.14955769273695763
7.0,0.001,abrupt_kappa_only,0.00225,0.11338101528004103,0.5200988491908485,1.299792669193139,0.09562035605717101
7.0,0.001,smooth_no_drag,0.00225,0.016387481452954242,1.0252650866010269,2.6636553317055975,0.18517401803789404
7.0,0.001,smooth_drag_same_kappa,0.00225,0.0004777867491829532,24.8361902476774,57.36267390387657,0.1998787530977716
7.0,0.001,smooth_drag_retuned,-0.0025,0.0018576490576924184,0.6442308766649295,1.298345346899983,0.1854333013723879
10.0,0.001,abrupt_kappa_only,0.00225,0.10588575240268726,0.31134472255351103,0.7697189226104354,0.150015716381764
10.0,0.001,smooth_no_drag,0.00225,0.00997775634496171,0.9889236909670301,2.4265996950334827,0.22707229399524873
10.0,0.001,smooth_drag_same_kappa,0.00225,0.0005324983904690095,18.145731159856236,46.78241446075205,0.2452480607900739
10.0,0.001,smooth_drag_retuned,-0.0025,0.0012057765144755203,0.4760247821788111,0.9872840281270087,0.22753121639765966
20.0,0.001,abrupt_kappa_only,0.00225,0.082050805511269,0.1333945464463108,0.4086082080441168,0.22151734100087012
20.0,0.001,smooth_no_drag,0.00225,0.004891412954298126,0.8993650815762475,2.5836388182642405,0.21833239817585742
20.0,0.001,smooth_drag_same_kappa,0.00225,0.0004314949959522095,12.36858171328916,30.124411753016073,0.18679067285433038
20.0,0.001,smooth_drag_retuned,-0.0025,0.000607306360975199,0.27745074893050814,0.4982092818927693,0.21821934584017694
30.0,0.001,abrupt_kappa_only,0.00225,0.06761999828902547,0.10441070331367948,0.2704610103342705,0.08156095065392954
30.0,0.001,smooth_no_drag,0.00225,0.0034295486500036097,0.6813427406760008,2.0213551440334916,0.07314604624567322
30.0,0.001,smooth_drag_same_kappa,0.00225,0.0003859757598946888,18.88877620668177,49.410577445260074,0.051789765236373686
30.0,0.001,smooth_drag_retuned,-0.0025,0.0004834980731190477,0.304782757448164,0.5790418545423233,0.07355695202384643
3.0,0.005,abrupt_kappa_only,0.00225,0.17393510889836458,1.038530962670134,2.7213309372924885,0.30108562458353305
3.0,0.005,smooth_no_drag,0.00225,0.00805758616883845,4.903696283221035,14.206397154873892,0.291192655974955
3.0,0.005,smooth_drag_same_kappa,0.00225,0.0006311703297156028,61.44224775592907,119.99999999999997,0.46335776133868184
3.0,0.005,smooth_drag_retuned,-0.0025,0.0010644447296102885,1.884500739039382,4.347697728804562,0.2738848183826522
5.0,0.005,abrupt_kappa_only,0.00225,0.142563983895843,0.6690251410908218,2.139168740164019,0.25158955765787616
5.0,0.005,smooth_no_drag,0.00225,0.009449911769778878,3.124705180798056,6.889346117136702,0.26246454757552595
